archivo,ruta,descripcion,sujeto_id,seeds_total,success_rate_pct,cv_min_media,cv_mediana_media,cv_media_media,hv_media,hv_std,hv_cv_pct,n_seeds_valid_hv
nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,1,31,3.225806451612903,42.32706535297011,62.56252383606501,61.57941158295379,2071606.6798953195,11346657.088570505,547.7225575051662,1
nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,2,31,0.0,141.6555086532472,263.06630341965564,259.87843184570653,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,3,31,0.0,96.49195748828399,164.38762685861178,159.78992282301974,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,4,31,0.0,1693.6289517350665,2172.667152049905,2140.8750473755963,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,5,31,100.0,0.0,0.0,0.0,154839939.48697588,21621933.0935676,13.964054213148472,31
nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.9) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,1,31,0.0,161.9325414650627,505.1414466241408,492.91033251926234,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.9) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,2,31,0.0,331.8642615305569,783.3810973588875,751.4897607990646,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.9) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,3,31,0.0,706.2262912490208,1270.6567714028308,1228.1347262506213,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.9) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,4,31,0.0,2306.054326406876,2872.86968839197,2835.8029956620658,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_path_pc0_9_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: path (p=0.9) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,5,31,70.96774193548387,4.5999235707643935,24.309276454039814,23.21367198423839,64614627.5084246,46927002.80778713,72.62597436109753,22
nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: walk (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,1,31,0.0,132.7050279912513,161.27262279165342,159.4734872951092,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: walk (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,2,31,0.0,136.8099064161873,167.07925282580854,164.86511710598478,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: walk (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,3,31,0.0,97.30139612894324,121.68117906709635,120.34721561803869,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: walk (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,4,31,0.0,830.7534729978637,1299.7284282337193,1264.2192568037533,0.0,0.0,0.0,0
nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_walk_pc0_6_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: walk (p=0.6) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,5,31,96.7741935483871,0.3917513371458183,0.4081584148195648,0.40397563102849915,129611772.5440942,32392526.456955288,24.991963169036424,30
nsga3_grafos_coseno_knn_cruce_walk_pc0_9_mut_custom_pm1_77.json,PROJECT\data\procesado\nsga3_grafos_cruces\json\nsga3_grafos_coseno_knn_cruce_walk_pc0_9_mut_custom_pm1_77.json,Grafos: coseno+kNN — Cruce: walk (p=0.9) — Mutación: Custom(1/77) — Algoritmo: NSGA-III,1,31,0.0,329.07782792652245,578.4281355052145,562.3579733317567,0.0,0.0,0.0,0
